City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,83,75,12.66,broken clouds
216,Fortuna,US,40.5982,-124.1573,38.32,100,0,10.36,clear sky
217,Esperance,AU,-33.8667,121.9,64.35,76,100,14.97,overcast clouds
218,Zalantun,CN,48.0,122.7167,23.81,45,0,5.91,clear sky
219,Synya,RU,65.3718,58.0387,23.63,79,100,2.21,overcast clouds
220,Nalut,LY,30.3333,10.85,98.6,9,0,16.91,clear sky
221,Rudnichnyy,RU,59.617,52.4703,33.51,98,100,10.67,light snow
222,Poletayevo,RU,55.0336,61.1138,40.82,83,100,5.01,overcast clouds
223,Coihueco,CL,-36.6167,-71.8333,50.74,93,100,8.05,mist
224,Nikolskoye,RU,59.7035,30.7861,32.88,65,98,7.67,overcast clouds
225,Kanniyakumari,IN,8.0833,77.5667,84.15,71,42,10.51,scattered clouds
226,Barrow,US,71.2906,-156.7887,-23.78,76,0,11.5,clear sky
227,Tabuk,PH,17.4189,121.4443,72.82,93,100,4.72,overcast clouds
228,Yendi,GH,9.4427,-0.0099,102.76,29,100,4.7,overcast clouds
229,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,73,100,12.97,overcast clouds
230,Tulum,MX,20.2167,-87.4667,81.05,75,100,10.45,overcast clouds
231,Saint-Augustin,CA,51.226,-58.6502,34.59,89,100,15.37,overcast clouds
232,Horsham,GB,51.064,-0.3272,56.89,83,75,18.41,broken clouds
233,Kondoa,TZ,-4.9,35.7833,82.89,34,0,8.03,clear sky
234,Karcsa,HU,48.3113,21.8054,61.99,62,91,14.74,overcast clouds
235,Constitucion,CL,-35.3333,-72.4167,60.64,68,2,4.29,clear sky
236,Bandarbeyla,SO,9.4942,50.8122,82.33,64,20,9.69,few clouds
237,Omsukchan,RU,62.5333,155.8,-9.15,100,99,3.36,overcast clouds
238,Andreapol,RU,56.6513,32.2664,34.29,64,12,12.1,light snow
239,Sena Madureira,BR,-9.0656,-68.6569,81.66,72,59,2.13,broken clouds
240,Faya,SA,18.3851,42.4509,81.12,10,0,7.05,clear sky
241,Ahipara,NZ,-35.1667,173.1667,64.6,92,100,7.47,light rain
242,Mao,ES,39.8885,4.2658,54.16,66,20,12.66,few clouds
243,Gunnedah,AU,-30.9833,150.25,64.08,88,100,10.94,light rain
244,Rock Springs,US,41.5875,-109.2029,23.05,63,0,21.85,clear sky
245,Padang,ID,-0.9492,100.3543,79.39,83,100,3.2,moderate rain
246,Port Hawkesbury,CA,45.6169,-61.3485,39.9,73,6,8.01,clear sky
247,Uthal,PK,25.8072,66.6219,94.08,20,0,13.78,clear sky
248,Cabo San Lucas,MX,22.8909,-109.9124,66.51,84,0,5.14,clear sky
249,Fairview,US,40.8126,-73.999,48.78,93,100,28.77,light rain
250,Corinto,GR,37.9407,22.9573,71.42,52,3,3.24,clear sky
251,Hobyo,SO,5.3505,48.5268,84.31,62,8,12.44,clear sky
252,Linkou,CN,45.3,130.2833,28.29,28,0,7.54,clear sky
253,Chanute,US,37.6792,-95.4572,46.51,87,0,6.91,clear sky
254,Loubomo,CG,-4.1997,12.6739,84.88,65,83,0.25,broken clouds
255,Sovetskiy,RU,61.3614,63.5842,31.68,76,8,9.69,clear sky
256,Yeppoon,AU,-23.1333,150.7333,74.98,70,13,16.62,few clouds
257,Dali,CN,25.7,100.1833,50.74,88,84,4.72,broken clouds
258,Tiksi,RU,71.6872,128.8694,-17.46,100,91,3.2,overcast clouds
259,Ligatne,LV,57.2343,25.0406,41.25,44,98,8.01,overcast clouds
260,Te Anau,NZ,-45.4167,167.7167,45.27,92,100,4.76,overcast clouds
261,Nisia Floresta,BR,-6.0911,-35.2086,83.21,68,47,7.9,scattered clouds
262,Thaba-Tseka,LS,-29.522,28.6084,60.31,27,0,22.3,clear sky
263,Rawson,AR,-43.3002,-65.1023,58.06,79,99,11.56,overcast clouds
264,Narsaq,GL,60.9167,-46.05,30.42,64,79,1.5,broken clouds
265,Viedma,AR,-40.8135,-62.9967,69.17,45,100,5.01,overcast clouds
