City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Hithadhoo,MV,2022-04-03 15:06:56,-0.6,73.0833,83.75,69,25,5.53
251,Nyagan,RU,2022-04-03 15:09:14,62.1406,65.3936,26.04,95,100,14.72
252,Kruisfontein,ZA,2022-04-03 15:09:14,-34.0033,24.7314,68.88,65,74,6.93
253,Kungurtug,RU,2022-04-03 15:09:15,50.5994,97.5228,31.57,83,98,3.6
254,Ilulissat,GL,2022-04-03 15:09:15,69.2167,-51.1,30.22,69,75,2.3
255,Aksarayskiy,RU,2022-04-03 15:09:15,46.7924,48.0119,66.63,42,99,7.11
256,Aklavik,CA,2022-04-03 15:09:16,68.2191,-135.0107,-19.05,98,100,4.52
257,Aykhal,RU,2022-04-03 15:09:16,66.0,111.5,5.85,99,97,7.63
258,Vallenar,CL,2022-04-03 15:09:16,-28.5708,-70.7581,74.37,37,0,4.29
259,Royan,FR,2022-04-03 15:09:17,45.6285,-1.0281,44.78,49,99,13.89
260,Lorengau,PG,2022-04-03 15:09:17,-2.0226,147.2712,79.68,80,100,1.1
261,Lubao,PH,2022-04-03 15:09:18,14.9167,120.55,75.76,69,100,4.36
262,Yelatma,RU,2022-04-03 15:09:18,54.9675,41.7508,31.6,98,100,6.69
263,Pisco,PE,2022-04-03 15:04:49,-13.7,-76.2167,69.85,73,0,9.22
264,Gatton,AU,2022-04-03 15:09:18,-27.55,152.2833,69.64,97,64,3.22
265,Wasilla,US,2022-04-03 15:08:23,61.5814,-149.4394,31.98,58,40,8.05
266,Ilam,NP,2022-04-03 15:09:19,26.9167,87.9167,67.66,75,12,4.61
267,Ballina,AU,2022-04-03 15:09:19,-28.8667,153.5667,66.02,96,22,10.78
268,Kutum,SD,2022-04-03 15:09:20,14.2,24.6667,92.53,7,98,5.55
269,Magrath,CA,2022-04-03 15:09:20,49.4167,-112.8686,38.84,46,12,11.07
270,Tura,IN,2022-04-03 15:09:21,25.5198,90.2201,72.0,88,3,5.12
271,Faya,SA,2022-04-03 15:09:21,18.3851,42.4509,72.12,26,1,5.66
272,Valverde Del Camino,ES,2022-04-03 15:09:21,37.5751,-6.7543,59.04,27,100,12.12
273,Port Blair,IN,2022-04-03 15:09:22,11.6667,92.75,81.91,75,21,10.56
274,Ponta Do Sol,PT,2022-04-03 15:10:22,32.6667,-17.1,61.72,84,100,11.63
275,Todos Santos,MX,2022-04-03 15:10:23,23.45,-110.2167,64.6,70,0,9.28
276,Mayo,US,2022-04-03 15:10:23,38.8876,-76.5119,61.5,56,0,5.99
277,Banda Aceh,ID,2022-04-03 15:10:23,5.5577,95.3222,78.06,84,100,10.42
278,Pleszew,PL,2022-04-03 15:10:24,51.8964,17.7855,42.03,39,100,12.46
279,Deer Lake,CA,2022-04-03 15:10:24,49.1667,-57.4316,36.01,98,96,12.41
280,Bassar,TG,2022-04-03 15:10:24,9.25,0.7833,99.57,26,99,9.55
281,Burns Lake,CA,2022-04-03 15:10:25,54.2331,-125.7533,30.38,81,84,3.96
282,Bitkine,TD,2022-04-03 15:10:25,11.9801,18.2138,105.71,5,88,7.38
283,Port Hardy,CA,2022-04-03 15:10:25,50.6996,-127.4199,37.18,94,100,2.95
284,Waingapu,ID,2022-04-03 15:10:26,-9.6567,120.2641,78.22,81,50,3.02
285,Lakefield,US,2022-04-03 15:10:26,43.6775,-95.1717,34.99,82,100,10.36
286,Przasnysz,PL,2022-04-03 15:10:26,53.0191,20.8803,43.38,32,99,12.39
287,Itoman,JP,2022-04-03 15:10:27,26.1247,127.6694,66.22,82,75,17.27
288,Poronaysk,RU,2022-04-03 15:10:27,49.2167,143.1167,37.31,77,53,10.18
289,Nabire,ID,2022-04-03 15:10:27,-3.3667,135.4833,76.42,87,93,3.4
290,Ovsyanka,RU,2022-04-03 15:10:27,55.9575,92.5519,27.57,98,100,2.26
291,Havelock,US,2022-04-03 15:09:42,34.8791,-76.9013,69.75,49,0,17.27
292,Omsukchan,RU,2022-04-03 15:10:28,62.5333,155.8,-9.62,100,80,2.89
